ID	Location	Trigger / frequency	Metrics	Workload dimensions	Coverage / instrumentation	Hypothesis to test	Invariant / narrow verification	Priority	Next experiment
C11	v2/core/src/store.ts:mailHistory, latestMailLifecycleRows	Each bounded history page	latency, CPU, point reads, serialized bytes	page size, repeated expedites, snapshot age, deletion history	Correctness coverage; I1,I2	Per-row indexed probes and budget JSON serialization dominate already bounded pages	K3,K4; core/mail-history stable snapshot/deleted/UTF-8 cases	P2	Page at maximum count/body budget with 1M unrelated audit events
C12	v2/core/src/store.ts:enqueueCommand, applyEnqueue	Spawn/stop/revive/archive/delete intent	durable latency, CPU, WAL bytes	verb, argument bytes, duplicate keys, pending population	B3 partial; I1,I3	Index maintenance and audit payloads dominate small durable command writes	K1,K2; core/idempotency, command-indexes	P1	Measure durable one-command transactions, not synchronous=OFF seed batches
C13	v2/core/src/store.ts:claimNextCommand	Up to command budget per step, plus moot rows	latency, CPU, rows skipped, throughput	ready/delayed/moot counts, replacements awaiting idle	B3 plans partial; I1,I3	ORDER BY id with readiness filter and repeated moot settling can monopolize a claim	K2; core/command-indexes, bee-args; daemon/loops	P1	Populate 100k delayed or stale commands ahead of a ready unrelated command
C14	v2/core/src/store.ts:completeCommand, reportCommandFailure	Each command completion or retry	latency, CPU, write amplification, retry rate	status transitions, attempts, due-time skew	B3 synthetic updates; I1,I3	Status indexes add measurable write cost under high retry traffic	K1,K2; core/spawn-budget, daemon/loops crash replay	P2	Durable mixed settle/retry traces with all attempt outcomes retained
C15	v2/core/src/store.ts:listCommands, mapCommand	Complete command-history APIs and internal callers	CPU, wall, peak heap/RSS, response bytes	10 sparse results versus 100k/1M complete own rows	B3 measured regression; I1,I2,I5	Index traversal plus row materialization/JSON parsing dominates complete results	K4; core/command-indexes, bee-args exact ordered equality	P1	Repeat full100k with same UUID fixture; separate SQLite fetch, map and JSON serialization
C16	v2/core/src/store.ts:reconfigureBee	Settings checks and replacement admission	latency, heap, query plan	100k settled, pending replacement, JSON null, current turn	B3 landed; I1	Already narrow probe could regress if planner or schema changes	K2; core/bee-args; daemon/bee-args admission/crash cases	P2	Keep unchanged-settings stress fixture as regression baseline
C17	v2/core/src/schema.ts:SCHEMA_SQL; v2/core/src/store.ts:listCommands	Index installation, writes and selects	pages, WAL, install wall/CPU, maintenance CPU	UUID length, C, status mix, existing DB	B3 landed tradeoff; I1,I6	Index key width and duplicate ordered access consume avoidable storage/work	K1,K4; core/command-indexes all four protected plans	P1	Compare query-only remediation first; test index alternatives only with full-result and pending-delete/wake matrices
C18	v2/core/src/store.ts:lookupRpcResult, recordRpcResult	Keyed mutations, cache hit/miss and eviction	latency, CPU, bytes, retained rows	0/9999/10000 retained keys, large results, retries	I1,I2; correctness only	COUNT and oldest-row eviction sorting become a steady tax at retention limit	K1; core/idempotency, daemon/idempotency duplicate effects	P1	Cross 10000-row boundary and time hit, insert and eviction separately
C19	v2/core/src/store.ts:deleteBee	Bee deletion and owned-row removal	latency, CPU, WAL, freed/logical pages	G, mail, commands, flags, questions, seals, descendants	B3 pending selector; I1,I6	Cascades and append-only cancellation evidence dominate large-bee deletion	K1,K3,K4; core/core-extra, command-indexes deletion cases	P2	Delete one high-history bee among many unrelated bees; check exact retained audit
C20	v2/core/src/store.ts:listTasks, listTaskLists	Task APIs and snapshots	latency, CPU, heap	task count, list count, status selectivity	I1,I2; correctness only	Unbounded task materialization and grouped counts scale with retained tasks	K4; core/tasks list and ownership cases	P2	Vary closed task history separately from pending tasks
C21	v2/core/src/store.ts:claimTask, moveTask, transitionTask	Task edits, claims, reordering	latency, writes, CPU, contention	list length, dense order gaps, concurrent claims	I1; correctness only	List scans and sort-order repair amplify repeated moves or claims	K1; core/tasks competing claim and reorder cases	P2	Repeated insert-between and claim traces on 10/10k tasks
C22	v2/core/src/store.ts:tryFeedTaskSupply, maybeStallFedTask; v2/daemon/src/loops.ts:taskSupplyLoop	Each core step for enabled supplies	CPU/tick, SQL count, feed latency	enabled supplies, blocked bees, mail queues, pending tasks	I1,I3; disabled in B1	Repeated no-feed gate checks scale with enabled but inactive supplies	K3; core/tasks, daemon/loops one-feed/stalled cases	P1	0/100/1000 supplies with each gate independently blocking
C23	v2/core/src/store.ts:askQuestion, answerQuestion, createSeal, listQuestions, listSeals	User/agent actions and snapshot reads	latency, heap, audit/storage bytes	open/closed questions, seals, body/ref sizes	I1,I2; correctness only	Large retained descriptor bodies burden snapshots and mutation audit	K1,K4; core/preflip-verbs; daemon/preflip-verbs	P2	Separate mutation cost from all-history listing at 100k descriptors
C24	v2/core/src/packages.ts:importLocalConfig, importTemplate, importTrack; v2/core/src/store.ts:putTemplate, putTrack	Registry imports/edits and lists	wall, CPU, file calls, bytes	file count, package size, scopes, unchanged imports	I1,I6; correctness only	Filesystem enumeration and repeated normalization dominate bulk no-op imports	K1,K4; core/packages, daemon/registry	P2	Import identical then changed 1/1000 packages with result/audit equality
C25	v2/core/src/store.ts:auditRows, auditTail	Watch deltas, events CLI, forensic queries	latency, CPU, rows visited/returned	A, sparse bee density, cursor age, limit	B1 partial; I1,I2	Sparse per-bee tails scan unrelated audit rows without a general bee/seq index	K4; daemon/preflip-verbs, core/mail-history	P1	Fixed 20-result tail among 1M unrelated events; record plan and write/storage tradeoff
C26	v2/core/src/audit.ts:replayAudit; v2/core/src/store.ts:dumpState	Explicit replay, diagnostics and verification	CPU, peak heap, events/s	A and all authoritative tables	B1 state equality; I1,I5	Replay holds complete event/state graphs and amplifies allocation	K1,K4; core/spec01, spec01-fuzz replay equality	P2	Replay 10k/1M heterogeneous events and compare final dump byte-for-byte
C27	v2/core/src/store.ts:recordNamingUsage, namingUsageSummary	Naming attempts and usage queries	CPU, latency, SQL aggregation, storage	attempt count, model cardinality, unpriced results	I1; correctness only	Two all-time aggregate queries scan long naming history	K4,K7; core/naming-usage	P2	Summarize 1M attempts across fixed and high model cardinality
C28	v2/core/src/store.ts:CoreStore.constructor, close; v2/core/src/schema.ts:SCHEMA_SQL	Sustained store growth and checkpoint/close	DB/WAL/SHM bytes, page churn, checkpoint stalls, CPU	A,C,M,G, deletes, long uptime, disk pressure	B1/B3 logical bytes; I6 missing physical detail	WAL checkpoint and free-page reuse cause tail stalls hidden by small fixtures	K1,K4; core/core-extra crash/reopen	P1	Disposable sustained durable write run spanning checkpoint and deletion/reuse cycles
C29	v2/daemon/src/daemon.ts:rpcFork, rpcChildren; v2/core/src/store.ts:listChildren, recordFork	Fork admission and family lookup	latency, CPU, SQL/response bytes	B, child fanout, source history, account binding, resume/fork mode	Correctness only; I1,I2,I3	Family scans and compound spawn/fork admission add costs beyond a plain spawn	K1,K2,K7; core/preflip-verbs; daemon/preflip-verbs	P2	Fork admission and child-list at 10k unrelated bees with exact provenance checks
D01	v2/daemon/src/daemon.ts:scheduleTick, nextTickDelayMs, tickProfiled	Default 200 ms delay after work completes	CPU/s, wakeups, loop delay, effective tick rate	B,L, mixed load, tick duration, configured budgets	B1 measured; I1,I3	Work plus reschedule delay reduces service rate and causes load-dependent latency	K2,K3; daemon/loops, daemon-lifecycle	P1	Measure actual tick intervals and concurrent hello latency during each workload
D02	v2/daemon/src/loops.ts:stepSnapshot, refreshSnapshot	At least one snapshot per step; refresh after mutation	CPU, allocations, SQL reads	B, pending M, changes per phase, quiet fraction	B1; I1,I5	A rollback-safe cross-tick read cache could remove repeated quiet materialization	K1,K2,K3; core/list-views rollback plus daemon/loops timed policies	P1	Attribute 60-second quiet windows by retained/live ratio before designing invalidation
D03	v2/daemon/src/loops.ts:observe, applyObservation, applyEvidence, applyObservationCursors	Each tick and selected RPC state decisions	CPU/event, commit duration, observation lag	event burst size, duplicate/stale facts, output rate	I1,I3; recovery tests	Large drains hold one transaction and repeat per-bee reads	K1,K2; driver-hsr/runner-host cursor crash atomicity	P1	Feed deterministic 1/1k/100k event bursts with duplicate/stale generations
D04	v2/daemon/src/daemon.ts:adoptSurvivors; v2/daemon/src/loops.ts:boot	Every daemon start	start-to-hello, CPU, process probes, bytes read	retained B versus live L, G, unread journals	B1 startup single samples; I3,I4	Sequential roster/runtime reads and identity/recovery work delay RPC listen	K2,K5; daemon/daemon-lifecycle; driver-hsr/runner-host	P1	Separate-process restart cohorts with 0/10/100 survivors and fixed retained history
D05	v2/daemon/src/loops.ts:reviveAfterStopIfRequested, pendingStopExists	Boot stopped-bee sweep; exit and stop policies	CPU, peak heap, command rows parsed	C per bee, stopped B, pending stop/wake ratio	B3 does not cover callers; I1,I5	These callers still hydrate full command history to answer existence questions	K2; daemon/bee-args, loops stop-then-revive/replay	P1	Repeat boot and exit with 100k settled commands per target bee
D06	v2/daemon/src/loops.ts:bootHangPolicy, scaleToZeroPolicy, degradedMailPolicy	Every step over view rows	CPU, due-action lateness, churn	idle/boot/degraded ratio, deadline clustering	I1,I3; B1 scale-to-zero disabled	Scanning and clustered deadlines create bursts of stop/revive work	K2,K3,K5; daemon/loops and core/spawn-budget	P1	Mix all policy cohorts around one clock boundary and compare accepted outcomes
D07	v2/daemon/src/loops.ts:executeCommands, startRuntime	Default eight claimed effects per tick	queue wait, effects/s, RPC stalls, worker/process count	burst width, slow driver, heterogeneous verbs	I1,I3,I4; no saturation baseline	Count-only execution budgets permit a slow effect or moot drain to starve RPC	K1,K2; daemon/loops; v2/harness spec02	P1	Ramp arrivals through saturation and record per-verb oldest queued age
D08	v2/daemon/src/loops.ts:deliveryLoop; v2/daemon/src/envelope.ts:deliveryText	At most one delivery candidate per bee per step	eligible-to-delivery p50/p95/p99, CPU, msgs/s	urgency mix, queue depth, readyAtSpawn, confirmations	B1 stub aggregate; I3	Tick cadence, refused retries and FIFO cohort shape limit throughput	K3; core/urgency; daemon/envelope; driver delivery tests	P1	Timestamp accept, eligibility, interrupt, write, acknowledgement and durable delivery separately
D09	v2/daemon/src/loops.ts:i1Telemetry; v2/daemon/src/telemetry.ts:TelemetryStore	Each pending message per enabled step; once per observed violation ID	CPU, violation write latency, telemetry bytes	queue depth, overdue rate, flags, restart	I1,I3,I6; telemetry correctness tests	Violation storms add synchronous storage/log work while queues are already late	K3,K4; daemon/telemetry and loops policy-bound clocks	P1	Create bounded overdue cohorts without provider work; compare healthy RPC latency
D10	v2/daemon/src/daemon.ts:shutdown	Restart, service stop, clean exit	wall, residual FDs/timers/workers, host survival	clients, login runners, Cell workers, host count	B1 partial; I4,I5	Async cleanup and residual callbacks delay daemon exit or touch a closed store	K5; daemon/daemon-lifecycle; driver-hsr/runner-host	P1	Repeated restart with active async services and confirm identical host PID/generation
R01	v2/cli/src/client.ts:RpcClient.connect, request; v2/daemon/src/rpc.ts:onConnection	Every CLI connection/request	connect/hello latency, CPU, FDs, timers	connection churn, pending RPC count, fragmented hello	B1; I2,I5	One-shot handshakes and pending timers add overhead beyond dispatch	K4; v2/cli/cli; daemon/integration timeout/close cases	P1	Compare connection reuse against process-per-request with identical requests
R02	v2/daemon/src/rpc.ts:onData, onFrame; v2/cli/src/client.ts:onData	Every incoming JSON frame/chunk	parse CPU, heap, bytes/frame, loop stalls	frame size, fragmentation, no newline, malformed frames	I2,I5; no size stress baseline	Unbounded partial strings and repeated slicing amplify memory and CPU	K4; daemon/integration protocol/framing cases	P1	Disposable clients send bounded large/fragmented/no-newline fixtures while probing health
R03	v2/daemon/src/rpc.ts:onConnection.send	Each reply, delta and hello	serialize CPU, write-queue bytes, RSS, socket drain time	payload size, client count, slow/stalled readers	I1 rpc.serialize; I2 missing queue gauges	socket.write return is ignored; slow consumers may retain arbitrarily large queued responses	K4; daemon/integration ordering/disconnect	P1	Pause a client reader and plot writableLength/RSS against produced bytes
R04	v2/daemon/src/daemon.ts:snapshot, mirrorAccount	Initial watch, explicit snapshot, gap recovery	CPU, heap, latency, response bytes, credential stats	B, tasks/seals/questions/registries/logins/accounts, W	B1 partial; I1,I2	Snapshot table mapping and credential filesystem checks repeat for equivalent clients	K4,K7; core/mirror; daemon/accounts-rpc	P1	1/10/100 clients request same-seq snapshots with independent credential changes
R05	v2/daemon/src/rpc.ts:flushWatch; v2/daemon/src/daemon.ts:flushWatchers	After each tick; dirty seq only per watcher	CPU, rows fetched, bytes/s, gap rate	W, distinct cursors, batch=256, payload size	Existing cursor sharing; I1,I2	Query work shares cursors but identical delta serialization still repeats per client	K4; daemon/integration snapshot-after-gap	P1	Shared/divergent cursor matrix including tiny-count huge-payload deltas
R06	v2/daemon/src/daemon.ts:dispatch, asyncInFlight	Async keyed mutations and account RPCs	queue depth, wall, heap, completions after disconnect	concurrent same/different keys, provider timeout, shutdown	I1 spans; I2,I7	Distinct async requests outgrow single-flight protection and retain closures	K1,K7; daemon/idempotency, account-lease, login-flows-rpc	P1	Flood synthetic bounded slow fetches and disconnect callers before completion
R07	v2/daemon/src/daemon.ts:rpcHealth, rpcNodeHarnesses, probeHarnessVersion, rpcDeployInfo	Health/version/installed-harness probes	latency, CPU, file calls, subprocesses	B, harness count, version-cache warm/cold, missing executables	B1 health; I1,I4	Health roster scans and serial version probes make diagnostics expensive under load	K4; daemon/node-harnesses, service	P2	Warm/cold diagnostics while holding roster fixed and varying harness paths
L01	src/cli-bootstrap.ts:main, loadV2; v2/cli/src/main.ts:runV2Cli	Every installed hive/ap invocation	wall, import CPU, peak RSS, loaded bytes	help/version/read/write, compile cache, frozen marker	B1 built warm CLI; I4	v2 CLI still statically imports daemon/service/transcript graphs	K4,K8; tests/frozen-flip; v2/cli/cli	P1	Profile installed help/version/list cold-process imports with warm and empty compile caches
L02	v2/cli/src/main.ts:makeContext; v2/daemon/src/config.ts:loadNodeConfig	Each non-version CLI; daemon construction	CPU, file calls, config parse latency	config size, agents, env/path settings	I1,I4; config tests	Context/config work occurs even for help and cheap commands	K4,K7; daemon/config; v2/cli/cli	P2	Separate bootstrap, config and command dispatch timestamps in a disposable CLI wrapper
L03	v2/cli/src/main.ts:resolveBeeIn, readBee	Selector-based commands	round trips, list bytes, CPU, latency	B, exact UUID/handle/name/prefix, ambiguity	B1 list only; I2	Client-side roster resolution makes a one-bee operation pay for the whole roster	K4; v2/cli/verbs-cli selector ambiguity	P1	Trace RPC sequence and bytes for exact UUID versus name at B=10k
L04	v2/cli/src/readonly.ts:ReadOnlyStore.list, view, auditRows	Reads after daemon unavailable	latency, SQL count, heap, stale fallback delay	B,G,A, missing old tables, daemon connect timeout	Correctness only; I1,I2	Fallback list uses per-bee views and unbounded audit reads	K1,K4; v2/cli/cli stale/read-only cases	P2	Closed disposable DB fallback with 10k bees and sparse audit filters
L05	v2/cli/src/main.ts:emit; v2/cli/src/render.ts:renderBeeList, renderUsageTable	Human and JSON output	CPU, peak heap, stdout bytes, blocked output time	rows, terminal width, JSON mode, pipe speed	B1 startup only; I2,I5	Eager human rendering may do avoidable work before JSON output and stdout can buffer	K4; v2/cli/style, verbs-cli	P2	Equal result sets rendered to sink, TTY and slow pipe; inspect both format modes
L06	v2/cli/src/main.ts:waitForCommandSettled, waitForBeeIdle, cmdSend	wait, send --wait, x/xa/run completion	poll RPC/s, bytes, CPU, detection delay	waiter count, history length, timeout, runtime state	B1 delivery aggregate; I2,I3	Polling full histories/view responses duplicates read and serialization work	K2,K3; v2/cli/verbs-cli wait/timeout	P1	100 waiters on one busy bee, then 100 different bees; record all RPCs
L07	v2/cli/src/main.ts:readSessionLogSnapshot, cmdTranscript, cmdTail, cmdLast	Transcript/last/tail initial read	wall, CPU, peak heap, bytes read	log bytes, turn count, images/tool outputs, requested tail	Correctness only; I5,I6	Tail and last can read/project complete logs before selecting suffix output	K4; v2/cli/verbs-cli; driver-tmux/parsers	P1	Read last/tail of 1/100/1000 MB synthetic logs with equal final turn
L08	v2/cli/src/main.ts:followFileLines, followTranscriptStream	Transcript/tail follow polling	idle wakeups, CPU, lag, heap	followers, burst bytes, long partial line, truncate/replace	Correctness only; I2,I5,I6	Per-client polling and full-growth allocations multiply work and partial-line memory	K4; driver-tmux/tail; v2/cli/verbs-cli	P1	Ten followers during output burst and truncate/replace; verify exact emitted lines
L09	v2/cli/src/main.ts:cmdEvents, cmdWatch	Events/watch stream consumers	client CPU, render throughput, reconnect/gap cost	event rate, filters, W, terminal/pipe	I2; correctness only	Filtering and rendering repeat client work; gap resnapshot amplifies bursts	K4; v2/cli/verbs-cli; daemon/integration	P2	Feed same delta corpus to quiet sink and terminal renderer
L10	src/completion/engine.ts:getCompletions	Each shell __complete, including frozen nodes	process wall/CPU, FS calls, subprocess count	legacy sessions/registries/nodes/runs/accounts, completion context	No current baseline; I4,I6	Every completion loads eleven inventories even when only static candidates are needed	K4; tests/completion, frozen-flip	P1	Static-command completion versus bee completion with large inactive inventories
L11	v2/cli/src/main.ts:buildTemplateInvocation, runTemplateInvocation, attachToBee	Template run and interactive attach	local CPU, RPC count, launch wall, prompt bytes	template args/env/preamble, cwd policy, existing/new bee, tmux	Correctness only; I2,I3,I4	Repeated registry/selector reads and prompt composition add fixed invocation overhead	K4,K7; v2/cli/registry-cli, verbs-cli	P2	Trace template-to-spawn versus equivalent direct spawn and attach startup
H01	v2/driver-hsr/src/driver.ts:start, hostCommandFor	Each HSR or Cell runtime start	host-ready wall/CPU/RSS, config bytes, process count	built/source entry, env size, concurrency, cache warmth	B2 landed host split; I3,I4	Remaining Node startup/config/setup costs repeat per host	K5,K8; driver-hsr/runner-host; daemon/runner-host-artifact	P2	Retain dedicated-entry baseline; repeat 1/10/100 concurrent stub hosts
H02	v2/driver-hsr/src/driver.ts:connectSocket, pumpHost, finishHost	Host startup/reconnect; exit	connect latency, retry count, file reads, timers	socket creation delay, missing/corrupt status, adopted hosts	Correctness only; I3,I4	Retry polling and startup status reads synchronize during spawn bursts	K2,K5; driver-hsr/runner-host missing-lane/reconnect	P1	Delay socket/status publication in disposable hosts and plot retry cohorts
H03	v2/driver-hsr/src/driver.ts:pumpAll, pumpHostTail, pollDegraded	Observation drains, coalesced to >=50 ms	idle CPU/s, stat/open/signal-0 calls	L, adopted fraction, quiet versus output hosts	B1 one stub; I4,I6	Journal stat and adopted liveness probes leave an O(L) idle floor	K2,K5; driver-hsr/driver, runner-host	P1	60-second idle cohorts at 0/1/10/100 hosts, counting actual polls
H04	v2/driver-hsr/src/driver.ts:pumpHostTail	New journal bytes; max 4 MiB read per host/pass	bytes/s, CPU, allocations, cursor lag	line size, output burst, L, incomplete frames	No throughput baseline; I3,I5,I6	Buffer concatenation/copy and per-host caps create skew under noisy cohorts	K2,K4; driver-hsr/runner-host replay/truncation	P1	One noisy host among quiet hosts, then all noisy; compare lag fairness and heap
H05	v2/driver-hsr/src/runner-host.ts:runRunnerHost, writeAgentLine	Every output line, stderr chunk and input line	append calls, CPU, bytes/s, write amplification	line rate/size, stderr ratio, disk speed/full disk	No I/O baseline; I4,I6	Synchronous journal-plus-transcript appends dominate high-rate output	K4,K5; driver-hsr/runner-host final output/error evidence	P1	Count syscalls and physical/logical bytes for fixed output corpus; test crash boundaries before any batching
H06	v2/driver-hsr/src/driver.ts:deliver, writeLine, onSignal	Message, interruption and provider acknowledgement	encode CPU, write lag, buffered bytes, confirmation delay	adapter, mid-turn, message size, disconnected socket	B1 stub aggregate; I3,I5	Pending writes and delayed confirmation add retries and retained message payloads	K3; driver-hsr/driver, runner-host confirmation crash gaps	P1	Hold stdin/socket consumption, then acknowledge exact IDs across reconnect
H07	v2/driver-hsr/src/driver.ts:recoverAdapterContext	Adoption needing session/turn/confirmation context	startup CPU, bytes scanned, heap	committed journal prefix, ack count, adapter, turn state	Correctness tests; I3,I5,I6	Recovery reparses history before the committed cursor even with tiny unread tail	K2,K3,K5; driver-hsr/runner-host acknowledgement replay	P1	Fixed 1 KiB unread suffix after 1/100/1000 MB committed prefixes
H08	v2/driver-hsr/src/driver.ts:adopt; v2/driver-hsr/src/psutil.ts:verifyProcessIdentity, processStartTimeMs	Every survivor adoption and exact signal check	wall, ps count/CPU, identity failures	L, PID reuse, process age, OS, probe errors	B1 startup partial; I4	One synchronous ps per identity makes restart and mass stop scale poorly	K5; driver-hsr/runner-host; daemon/daemon-lifecycle	P1	Count exact probes at L=100 before considering batch identity snapshots
H09	v2/driver-hsr/src/driver.ts:stop, signalGroup, onExit, detachAll	Stop, kill escalation, exit and restart	stop-to-exit, CPU, timer/FD residue	tree depth, resistant child, concurrent stops	Correctness tests; I4,I5	Kill timers and process callbacks retain resources through mass shutdown	K5; driver-hsr/driver and runner-host survival/kill cases	P1	Repeated stop/revive cycles with descendants and exact identity assertions
H10	v2/driver-hsr/src/runner-host.ts:runRunnerHost; v2/driver-hsr/src/driver.ts:consumed, pendingWrites	Long-lived streams and message churn	retained heap/RSS, socket/FD count	no-newline bytes, total delivered IDs, stalled stdin	No retained-heap coverage; I5	Unbounded partial frames and lifetime consumed-ID maps grow independently of live work	K3,K4,K5; driver-hsr/runner-host no-loss/replay cases	P1	Churn 100k messages then idle/GC in disposable hosts and inspect retaining paths
A01	v2/adapters/src/claude.ts:parseClaudeLine, encodeClaudeMessage	Each Claude line/input	CPU/MB, allocations, signal count	stream/result/tool/error mixtures, large JSON	Correctness fixtures; I8	Repeated JSON parsing and nested content normalization dominate dense streams	K2,K3; adapters/claude fixture equality	P2	Replay recorded redacted fixtures at 1/10/100x rate outside provider execution
A02	v2/adapters/src/codex.ts:codexAdapter, codexThreadRequest	Handshake, line, steer/interrupt, confirmations	parse/encode CPU, handshake steps, retained state	fork/resume, turn IDs, server requests, output volume	Correctness fixtures; I3,I8	Protocol round trips and redundant event shapes add overhead beyond model latency	K2,K3; adapters/codex; driver-hsr/runner-host	P1	Separate local handshake/parse timings from provider-controlled responses
A03	v2/adapters/src/grok.ts:grokAdapter, grokAllowPermissionResult	ACP initialize/auth/session/prompt/update	CPU/MB, allocations, local request count	MCP server count, replay events, permission/update mix	Correctness/live fixture; I3,I8	ACP normalization and configured MCP handshake fanout cost grows with tools	K2,K3,K7; adapters/grok	P2	Replay ACP fixture with varied gateway lists and delayed non-model replies
A04	v2/adapters/src/agy.ts:parseAgyLine; v2/adapters/src/stub.ts:parseStubLine	Each supported agy/stub event	CPU/MB, allocations, events/s	malformed/valid lines, result sizes	Correctness only; I8	Result normalization cost differs from other adapters and skews stub extrapolation	K2; adapters/agy, stub	P2	Run identical byte-volume corpus per adapter; retain provider-specific conclusions
A05	v2/adapters/src/args.ts:parseArgUnits, composeArgv, codexSpawnPlan, grokSpawnPlan	Spawn, reconfigure, template/model commands	CPU, temporary allocations	arg count, overrides, keyed flags, resume selectors	Correctness only; I8	Repeated parse/dedupe across configuration layers adds spawn CPU	K2,K7; adapters/args; core/bee-args	P3	Stress long layered argv and assert exact effective command parity
A06	v2/driver-tmux/src/transcripts.ts:createTranscriptProjector, createTranscriptTurnStream	CLI transcript rendering and exported projections	CPU/MB, heap, text/image output bytes	Claude/Codex/Grok/agy, tools, compaction, image size	Correctness fixtures; I5,I8	Tool maps, dedup sets and image payloads retain memory across long conversations	K4; driver-tmux/*-projection, eq-matrix	P1	Long mixed transcript with missing terminal tool events and maximal allowed images
T01	v2/driver-tmux/src/driver.ts:start; v2/driver-tmux/src/tmux.ts:TmuxServer.run	Every tmux runtime start	wall, subprocesses, CPU, ready latency	seats, env/argv size, cold/warm tmux server	No current perf; I3,I4	Synchronous tmux setup and identity probes block the daemon accept loop	K2,K5; driver-tmux/driver; daemon/tmux-harness	P1	Spawn stub seat cohorts while polling unrelated RPC health
T02	v2/driver-tmux/src/driver.ts:harvest; v2/driver-tmux/src/transcripts.ts:findTranscript	Each observation; unbound scan at >=50 ms	CPU, directory/stat calls, bind latency	transcript tree size/depth, unbound L, homes	Correctness only; I4,I6	Repeated recursive scans dominate fleets waiting for transcript discovery	K2,K4; driver-tmux/parsers, driver	P1	Delay transcript creation in a home with 100k unrelated files
T03	v2/driver-tmux/src/tail.ts:JsonlTail.poll; v2/driver-tmux/src/driver.ts:mirrorSessionLog	Per seat transcript/hook tail	CPU, read/append bytes, lag, heap	1 MiB read cap, 512 KiB partial cap, rotation/truncation	Correctness only; I5,I6	Two tails plus mirrored logs amplify per-seat I/O	K4; driver-tmux/tail, parsers	P2	Burst complete and oversized split lines and verify bounded exact projections
