ID,Priority,Status,Operation,Metrics,Baseline evidence,Change,After evidence,Correctness gate,Disposition
C11,P2,unmeasured this round,"v2/core/src/store.ts:mailHistory, latestMailLifecycleRows","latency, CPU, point reads, serialized bytes","Correctness coverage; I1,I2",,,"K3,K4; core/mail-history stable snapshot/deleted/UTF-8 cases",Open; next experiment: Page at maximum count/body budget with 1M unrelated audit events
C12,P1,unmeasured this round,"v2/core/src/store.ts:enqueueCommand, applyEnqueue","durable latency, CPU, WAL bytes","B3 partial; I1,I3",,,"K1,K2; core/idempotency, command-indexes","Open; next experiment: Measure durable one-command transactions, not synchronous=OFF seed batches"
C13,P1,unmeasured this round,v2/core/src/store.ts:claimNextCommand,"latency, CPU, rows skipped, throughput","B3 plans partial; I1,I3",,,"K2; core/command-indexes, bee-args; daemon/loops",Open; next experiment: Populate 100k delayed or stale commands ahead of a ready unrelated command
C14,P2,unmeasured this round,"v2/core/src/store.ts:completeCommand, reportCommandFailure","latency, CPU, write amplification, retry rate","B3 synthetic updates; I1,I3",,,"K1,K2; core/spawn-budget, daemon/loops crash replay",Open; next experiment: Durable mixed settle/retry traces with all attempt outcomes retained
C15,P1,unmeasured this round,"v2/core/src/store.ts:listCommands, mapCommand","CPU, wall, peak heap/RSS, response bytes","B3 measured regression; I1,I2,I5",,,"K4; core/command-indexes, bee-args exact ordered equality","Open; next experiment: Repeat full100k with same UUID fixture; separate SQLite fetch, map and JSON serialization"
C16,P2,unmeasured this round,v2/core/src/store.ts:reconfigureBee,"latency, heap, query plan",B3 landed; I1,,,K2; core/bee-args; daemon/bee-args admission/crash cases,Open; next experiment: Keep unchanged-settings stress fixture as regression baseline
C17,P1,unmeasured this round,v2/core/src/schema.ts:SCHEMA_SQL; v2/core/src/store.ts:listCommands,"pages, WAL, install wall/CPU, maintenance CPU","B3 landed tradeoff; I1,I6",,,"K1,K4; core/command-indexes all four protected plans",Open; next experiment: Compare query-only remediation first; test index alternatives only with full-result and pending-delete/wake matrices
C18,P1,retention optimized; broader RPC open,"v2/core/src/store.ts:lookupRpcResult, recordRpcResult","latency, CPU, bytes, retained rows","evidence/mini-read-hotspots-before.json (canonical24cases,n15,Node24.18M4,guardbasebcd85a8c)",c5d79863; integrated f5e46917 created_at index,rpc-retention-results.md; mini-c18-tradeoff-ab.json,"K1; core/idempotency, daemon/idempotency duplicate effects",Accept measured read/write/storage tradeoff. Larger caps and serialization remain open.
C19,P2,unmeasured this round,v2/core/src/store.ts:deleteBee,"latency, CPU, WAL, freed/logical pages","B3 pending selector; I1,I6",,,"K1,K3,K4; core/core-extra, command-indexes deletion cases",Open; next experiment: Delete one high-history bee among many unrelated bees; check exact retained audit
C20,P2,unmeasured this round,"v2/core/src/store.ts:listTasks, listTaskLists","latency, CPU, heap","I1,I2; correctness only",,,K4; core/tasks list and ownership cases,Open; next experiment: Vary closed task history separately from pending tasks
C21,P2,unmeasured this round,"v2/core/src/store.ts:claimTask, moveTask, transitionTask","latency, writes, CPU, contention",I1; correctness only,,,K1; core/tasks competing claim and reorder cases,Open; next experiment: Repeated insert-between and claim traces on 10/10k tasks
C22,P1,optimized measured subset; scaling open,"v2/core/src/store.ts:tryFeedTaskSupply, maybeStallFedTask; v2/daemon/src/loops.ts:taskSupplyLoop","CPU/tick, SQL count, feed latency","evidence/mini-read-hotspots-before.json (canonical24cases,n15,Node24.18M4,guardbasebcd85a8c)",6cc402de / 7dfd8ca3: early terminal gates and indexed existence probes,evidence/mini-read-hotspots-c22-comparison.json; mini-task-supply-positive-c22.json,"K3; core/tasks, daemon/loops one-feed/stalled cases",1000empty21.325→12.295msCPU;1000paused27.280→12.796; positive100feeds10.308→9.460. Remaining per-supply work open.
C23,P2,unmeasured this round,"v2/core/src/store.ts:askQuestion, answerQuestion, createSeal, listQuestions, listSeals","latency, heap, audit/storage bytes","I1,I2; correctness only",,,"K1,K4; core/preflip-verbs; daemon/preflip-verbs",Open; next experiment: Separate mutation cost from all-history listing at 100k descriptors
C24,P2,unmeasured this round,"v2/core/src/packages.ts:importLocalConfig, importTemplate, importTrack; v2/core/src/store.ts:putTemplate, putTrack","wall, CPU, file calls, bytes","I1,I6; correctness only",,,"K1,K4; core/packages, daemon/registry",Open; next experiment: Import identical then changed 1/1000 packages with result/audit equality
C25,P1,per-Bee tail accepted; general materialization open,"v2/core/src/store.ts:auditRows, auditTail","latency, CPU, rows visited/returned","evidence/mini-read-hotspots-before.json (canonical24cases,n15,Node24.18M4,guardbasebcd85a8c)",e17374fc partial audit_by_bee index + narrow deletion plan,audit-tail-results.md; mini-c25-read-ab.json,"K4; daemon/preflip-verbs, core/mail-history","Sparse production tail30.033→0.023ms CPU. Index/write/dense-tail costs accepted and retained. auditRows, daemon-down filtering and retention remain open."
C26,P2,unmeasured this round,v2/core/src/audit.ts:replayAudit; v2/core/src/store.ts:dumpState,"CPU, peak heap, events/s","B1 state equality; I1,I5",,,"K1,K4; core/spec01, spec01-fuzz replay equality",Open; next experiment: Replay 10k/1M heterogeneous events and compare final dump byte-for-byte
C27,P2,unmeasured this round,"v2/core/src/store.ts:recordNamingUsage, namingUsageSummary","CPU, latency, SQL aggregation, storage",I1; correctness only,,,"K4,K7; core/naming-usage",Open; next experiment: Summarize 1M attempts across fixed and high model cardinality
C28,P1,unmeasured this round,"v2/core/src/store.ts:CoreStore.constructor, close; v2/core/src/schema.ts:SCHEMA_SQL","DB/WAL/SHM bytes, page churn, checkpoint stalls, CPU",B1/B3 logical bytes; I6 missing physical detail,,,"K1,K4; core/core-extra crash/reopen",Open; next experiment: Disposable sustained durable write run spanning checkpoint and deletion/reuse cycles
C29,P2,unmeasured this round,"v2/daemon/src/daemon.ts:rpcFork, rpcChildren; v2/core/src/store.ts:listChildren, recordFork","latency, CPU, SQL/response bytes","Correctness only; I1,I2,I3",,,"K1,K2,K7; core/preflip-verbs; daemon/preflip-verbs",Open; next experiment: Fork admission and child-list at 10k unrelated bees with exact provenance checks
D01,P1,unmeasured this round,"v2/daemon/src/daemon.ts:scheduleTick, nextTickDelayMs, tickProfiled","CPU/s, wakeups, loop delay, effective tick rate","B1 measured; I1,I3",,,"K2,K3; daemon/loops, daemon-lifecycle",Open; next experiment: Measure actual tick intervals and concurrent hello latency during each workload
D02,P1,optimized partial; continuation open,"v2/daemon/src/loops.ts:stepSnapshot, refreshSnapshot","CPU, allocations, SQL reads",evidence/mini-quiet-audit-none-before.json; mini-paired-step-v2-aa.json; mini-daemon-before.json,bcd85a8c (integration9e0eb194): conservative empty snapshot + partial live-runtime index,evidence/mini-quiet-audit-none-after-guard.json; mini-paired-step-guard.json; mini-daemon-after-guard.json,"K1,K2,K3; core/list-views rollback plus daemon/loops timed policies",Quiet1000 CPU3.241→0.022ms; daemon idle9.715→0.467%onecore. Lifecycle write CPU+4–8%;4–24KiB storage. Sparse-live/large queues remain open.
D03,P1,unmeasured this round,"v2/daemon/src/loops.ts:observe, applyObservation, applyEvidence, applyObservationCursors","CPU/event, commit duration, observation lag","I1,I3; recovery tests",,,"K1,K2; driver-hsr/runner-host cursor crash atomicity",Open; next experiment: Feed deterministic 1/1k/100k event bursts with duplicate/stale generations
D04,P1,unmeasured this round,v2/daemon/src/daemon.ts:adoptSurvivors; v2/daemon/src/loops.ts:boot,"start-to-hello, CPU, process probes, bytes read","B1 startup single samples; I3,I4",,,"K2,K5; daemon/daemon-lifecycle; driver-hsr/runner-host",Open; next experiment: Separate-process restart cohorts with 0/10/100 survivors and fixed retained history
D05,P1,optimized subset; residual scan open,"v2/daemon/src/loops.ts:reviveAfterStopIfRequested, pendingStopExists","CPU, peak heap, command rows parsed","evidence/mini-read-hotspots-before.json (canonical24cases,n15,Node24.18M4,guardbasebcd85a8c)","f3ed9b75 / 9651013f: cached narrow command predicates, existing indexes;81ca6853/ce9558db generation partial index",evidence/mini-read-hotspots-after-d05.json; mini-read-hotspots-d05-comparison.json;stop-recovery-index-results.md,"K2; daemon/bee-args, loops stop-then-revive/replay;Mini220core/build/v2-check;strictcanonicalAA/AB;UUIDtradeoffs","100k same-gen boot 11.386→7.256ms CPU; spread200-gen predicate6.767→0.351. Writes+0.52–1.59ms/100cycles,firstopen+15–39ms,index2.36–4.80MB accepted. Same-generation JSON parsing and fleet scaling remain open."
D06,P1,unmeasured this round,"v2/daemon/src/loops.ts:bootHangPolicy, scaleToZeroPolicy, degradedMailPolicy","CPU, due-action lateness, churn","I1,I3; B1 scale-to-zero disabled",,,"K2,K3,K5; daemon/loops and core/spawn-budget",Open; next experiment: Mix all policy cohorts around one clock boundary and compare accepted outcomes
D07,P1,unmeasured this round,"v2/daemon/src/loops.ts:executeCommands, startRuntime","queue wait, effects/s, RPC stalls, worker/process count","I1,I3,I4; no saturation baseline",,,"K1,K2; daemon/loops; v2/harness spec02",Open; next experiment: Ramp arrivals through saturation and record per-verb oldest queued age
D08,P1,unmeasured this round,v2/daemon/src/loops.ts:deliveryLoop; v2/daemon/src/envelope.ts:deliveryText,"eligible-to-delivery p50/p95/p99, CPU, msgs/s",B1 stub aggregate; I3,,,K3; core/urgency; daemon/envelope; driver delivery tests,"Open; next experiment: Timestamp accept, eligibility, interrupt, write, acknowledgement and durable delivery separately"
D09,P1,unmeasured this round,v2/daemon/src/loops.ts:i1Telemetry; v2/daemon/src/telemetry.ts:TelemetryStore,"CPU, violation write latency, telemetry bytes","I1,I3,I6; telemetry correctness tests",,,"K3,K4; daemon/telemetry and loops policy-bound clocks",Open; next experiment: Create bounded overdue cohorts without provider work; compare healthy RPC latency
D10,P1,unmeasured this round,v2/daemon/src/daemon.ts:shutdown,"wall, residual FDs/timers/workers, host survival","B1 partial; I4,I5",,,K5; daemon/daemon-lifecycle; driver-hsr/runner-host,Open; next experiment: Repeated restart with active async services and confirm identical host PID/generation
R01,P1,unmeasured this round,"v2/cli/src/client.ts:RpcClient.connect, request; v2/daemon/src/rpc.ts:onConnection","connect/hello latency, CPU, FDs, timers","B1; I2,I5",,,K4; v2/cli/cli; daemon/integration timeout/close cases,Open; next experiment: Compare connection reuse against process-per-request with identical requests
R02,P1,unmeasured this round,"v2/daemon/src/rpc.ts:onData, onFrame; v2/cli/src/client.ts:onData","parse CPU, heap, bytes/frame, loop stalls","I2,I5; no size stress baseline",,,K4; daemon/integration protocol/framing cases,Open; next experiment: Disposable clients send bounded large/fragmented/no-newline fixtures while probing health
R03,P1,unmeasured this round,v2/daemon/src/rpc.ts:onConnection.send,"serialize CPU, write-queue bytes, RSS, socket drain time",I1 rpc.serialize; I2 missing queue gauges,,,K4; daemon/integration ordering/disconnect,Open; next experiment: Pause a client reader and plot writableLength/RSS against produced bytes
R04,P1,unmeasured this round,"v2/daemon/src/daemon.ts:snapshot, mirrorAccount","CPU, heap, latency, response bytes, credential stats","B1 partial; I1,I2",,,"K4,K7; core/mirror; daemon/accounts-rpc",Open; next experiment: 1/10/100 clients request same-seq snapshots with independent credential changes
R05,P1,unmeasured this round,v2/daemon/src/rpc.ts:flushWatch; v2/daemon/src/daemon.ts:flushWatchers,"CPU, rows fetched, bytes/s, gap rate","Existing cursor sharing; I1,I2",,,K4; daemon/integration snapshot-after-gap,Open; next experiment: Shared/divergent cursor matrix including tiny-count huge-payload deltas
R06,P1,unmeasured this round,"v2/daemon/src/daemon.ts:dispatch, asyncInFlight","queue depth, wall, heap, completions after disconnect","I1 spans; I2,I7",,,"K1,K7; daemon/idempotency, account-lease, login-flows-rpc",Open; next experiment: Flood synthetic bounded slow fetches and disconnect callers before completion
R07,P2,unmeasured this round,"v2/daemon/src/daemon.ts:rpcHealth, rpcNodeHarnesses, probeHarnessVersion, rpcDeployInfo","latency, CPU, file calls, subprocesses","B1 health; I1,I4",,,"K4; daemon/node-harnesses, service",Open; next experiment: Warm/cold diagnostics while holding roster fixed and varying harness paths
L01,P1,unmeasured this round,"src/cli-bootstrap.ts:main, loadV2; v2/cli/src/main.ts:runV2Cli","wall, import CPU, peak RSS, loaded bytes",B1 built warm CLI; I4,,,"K4,K8; tests/frozen-flip; v2/cli/cli",Open; next experiment: Profile installed help/version/list cold-process imports with warm and empty compile caches
L02,P2,unmeasured this round,v2/cli/src/main.ts:makeContext; v2/daemon/src/config.ts:loadNodeConfig,"CPU, file calls, config parse latency","I1,I4; config tests",,,"K4,K7; daemon/config; v2/cli/cli","Open; next experiment: Separate bootstrap, config and command dispatch timestamps in a disposable CLI wrapper"
L03,P1,unmeasured this round,"v2/cli/src/main.ts:resolveBeeIn, readBee","round trips, list bytes, CPU, latency",B1 list only; I2,,,K4; v2/cli/verbs-cli selector ambiguity,Open; next experiment: Trace RPC sequence and bytes for exact UUID versus name at B=10k
L04,P2,unmeasured this round,"v2/cli/src/readonly.ts:ReadOnlyStore.list, view, auditRows","latency, SQL count, heap, stale fallback delay","Correctness only; I1,I2",,,"K1,K4; v2/cli/cli stale/read-only cases",Open; next experiment: Closed disposable DB fallback with 10k bees and sparse audit filters
L05,P2,unmeasured this round,"v2/cli/src/main.ts:emit; v2/cli/src/render.ts:renderBeeList, renderUsageTable","CPU, peak heap, stdout bytes, blocked output time","B1 startup only; I2,I5",,,"K4; v2/cli/style, verbs-cli","Open; next experiment: Equal result sets rendered to sink, TTY and slow pipe; inspect both format modes"
L06,P1,unmeasured this round,"v2/cli/src/main.ts:waitForCommandSettled, waitForBeeIdle, cmdSend","poll RPC/s, bytes, CPU, detection delay","B1 delivery aggregate; I2,I3",,,"K2,K3; v2/cli/verbs-cli wait/timeout","Open; next experiment: 100 waiters on one busy bee, then 100 different bees; record all RPCs"
L07,P1,unmeasured this round,"v2/cli/src/main.ts:readSessionLogSnapshot, cmdTranscript, cmdTail, cmdLast","wall, CPU, peak heap, bytes read","Correctness only; I5,I6",,,K4; v2/cli/verbs-cli; driver-tmux/parsers,Open; next experiment: Read last/tail of 1/100/1000 MB synthetic logs with equal final turn
L08,P1,unmeasured this round,"v2/cli/src/main.ts:followFileLines, followTranscriptStream","idle wakeups, CPU, lag, heap","Correctness only; I2,I5,I6",,,K4; driver-tmux/tail; v2/cli/verbs-cli,Open; next experiment: Ten followers during output burst and truncate/replace; verify exact emitted lines
L09,P2,unmeasured this round,"v2/cli/src/main.ts:cmdEvents, cmdWatch","client CPU, render throughput, reconnect/gap cost",I2; correctness only,,,K4; v2/cli/verbs-cli; daemon/integration,Open; next experiment: Feed same delta corpus to quiet sink and terminal renderer
L10,P1,unmeasured this round,src/completion/engine.ts:getCompletions,"process wall/CPU, FS calls, subprocess count","No current baseline; I4,I6",,,"K4; tests/completion, frozen-flip",Open; next experiment: Static-command completion versus bee completion with large inactive inventories
L11,P2,unmeasured this round,"v2/cli/src/main.ts:buildTemplateInvocation, runTemplateInvocation, attachToBee","local CPU, RPC count, launch wall, prompt bytes","Correctness only; I2,I3,I4",,,"K4,K7; v2/cli/registry-cli, verbs-cli",Open; next experiment: Trace template-to-spawn versus equivalent direct spawn and attach startup
H01,P2,unmeasured this round,"v2/driver-hsr/src/driver.ts:start, hostCommandFor","host-ready wall/CPU/RSS, config bytes, process count","B2 landed host split; I3,I4",,,"K5,K8; driver-hsr/runner-host; daemon/runner-host-artifact",Open; next experiment: Retain dedicated-entry baseline; repeat 1/10/100 concurrent stub hosts
H02,P1,unmeasured this round,"v2/driver-hsr/src/driver.ts:connectSocket, pumpHost, finishHost","connect latency, retry count, file reads, timers","Correctness only; I3,I4",,,"K2,K5; driver-hsr/runner-host missing-lane/reconnect",Open; next experiment: Delay socket/status publication in disposable hosts and plot retry cohorts
H03,P1,unmeasured this round,"v2/driver-hsr/src/driver.ts:pumpAll, pumpHostTail, pollDegraded","idle CPU/s, stat/open/signal-0 calls","B1 one stub; I4,I6",,,"K2,K5; driver-hsr/driver, runner-host","Open; next experiment: 60-second idle cohorts at 0/1/10/100 hosts, counting actual polls"
H04,P1,unmeasured this round,v2/driver-hsr/src/driver.ts:pumpHostTail,"bytes/s, CPU, allocations, cursor lag","No throughput baseline; I3,I5,I6",,,"K2,K4; driver-hsr/runner-host replay/truncation","Open; next experiment: One noisy host among quiet hosts, then all noisy; compare lag fairness and heap"
H05,P1,unmeasured this round,"v2/driver-hsr/src/runner-host.ts:runRunnerHost, writeAgentLine","append calls, CPU, bytes/s, write amplification","No I/O baseline; I4,I6",,,"K4,K5; driver-hsr/runner-host final output/error evidence",Open; next experiment: Count syscalls and physical/logical bytes for fixed output corpus; test crash boundaries before any batching
H06,P1,unmeasured this round,"v2/driver-hsr/src/driver.ts:deliver, writeLine, onSignal","encode CPU, write lag, buffered bytes, confirmation delay","B1 stub aggregate; I3,I5",,,"K3; driver-hsr/driver, runner-host confirmation crash gaps","Open; next experiment: Hold stdin/socket consumption, then acknowledge exact IDs across reconnect"
H07,P1,unmeasured this round,v2/driver-hsr/src/driver.ts:recoverAdapterContext,"startup CPU, bytes scanned, heap","Correctness tests; I3,I5,I6",,,"K2,K3,K5; driver-hsr/runner-host acknowledgement replay",Open; next experiment: Fixed 1 KiB unread suffix after 1/100/1000 MB committed prefixes
H08,P1,unmeasured this round,"v2/driver-hsr/src/driver.ts:adopt; v2/driver-hsr/src/psutil.ts:verifyProcessIdentity, processStartTimeMs","wall, ps count/CPU, identity failures",B1 startup partial; I4,,,K5; driver-hsr/runner-host; daemon/daemon-lifecycle,Open; next experiment: Count exact probes at L=100 before considering batch identity snapshots
H09,P1,unmeasured this round,"v2/driver-hsr/src/driver.ts:stop, signalGroup, onExit, detachAll","stop-to-exit, CPU, timer/FD residue","Correctness tests; I4,I5",,,K5; driver-hsr/driver and runner-host survival/kill cases,Open; next experiment: Repeated stop/revive cycles with descendants and exact identity assertions
H10,P1,unmeasured this round,"v2/driver-hsr/src/runner-host.ts:runRunnerHost; v2/driver-hsr/src/driver.ts:consumed, pendingWrites","retained heap/RSS, socket/FD count",No retained-heap coverage; I5,,,"K3,K4,K5; driver-hsr/runner-host no-loss/replay cases",Open; next experiment: Churn 100k messages then idle/GC in disposable hosts and inspect retaining paths
A01,P2,unmeasured this round,"v2/adapters/src/claude.ts:parseClaudeLine, encodeClaudeMessage","CPU/MB, allocations, signal count",Correctness fixtures; I8,,,"K2,K3; adapters/claude fixture equality",Open; next experiment: Replay recorded redacted fixtures at 1/10/100x rate outside provider execution
A02,P1,unmeasured this round,"v2/adapters/src/codex.ts:codexAdapter, codexThreadRequest","parse/encode CPU, handshake steps, retained state","Correctness fixtures; I3,I8",,,"K2,K3; adapters/codex; driver-hsr/runner-host",Open; next experiment: Separate local handshake/parse timings from provider-controlled responses
A03,P2,unmeasured this round,"v2/adapters/src/grok.ts:grokAdapter, grokAllowPermissionResult","CPU/MB, allocations, local request count","Correctness/live fixture; I3,I8",,,"K2,K3,K7; adapters/grok",Open; next experiment: Replay ACP fixture with varied gateway lists and delayed non-model replies
A04,P2,unmeasured this round,v2/adapters/src/agy.ts:parseAgyLine; v2/adapters/src/stub.ts:parseStubLine,"CPU/MB, allocations, events/s",Correctness only; I8,,,"K2; adapters/agy, stub",Open; next experiment: Run identical byte-volume corpus per adapter; retain provider-specific conclusions
A05,P3,unmeasured this round,"v2/adapters/src/args.ts:parseArgUnits, composeArgv, codexSpawnPlan, grokSpawnPlan","CPU, temporary allocations",Correctness only; I8,,,"K2,K7; adapters/args; core/bee-args",Open; next experiment: Stress long layered argv and assert exact effective command parity
A06,P1,unmeasured this round,"v2/driver-tmux/src/transcripts.ts:createTranscriptProjector, createTranscriptTurnStream","CPU/MB, heap, text/image output bytes","Correctness fixtures; I5,I8",,,"K4; driver-tmux/*-projection, eq-matrix",Open; next experiment: Long mixed transcript with missing terminal tool events and maximal allowed images
T01,P1,unmeasured this round,v2/driver-tmux/src/driver.ts:start; v2/driver-tmux/src/tmux.ts:TmuxServer.run,"wall, subprocesses, CPU, ready latency","No current perf; I3,I4",,,"K2,K5; driver-tmux/driver; daemon/tmux-harness",Open; next experiment: Spawn stub seat cohorts while polling unrelated RPC health
T02,P1,unmeasured this round,v2/driver-tmux/src/driver.ts:harvest; v2/driver-tmux/src/transcripts.ts:findTranscript,"CPU, directory/stat calls, bind latency","Correctness only; I4,I6",,,"K2,K4; driver-tmux/parsers, driver",Open; next experiment: Delay transcript creation in a home with 100k unrelated files
T03,P2,unmeasured this round,v2/driver-tmux/src/tail.ts:JsonlTail.poll; v2/driver-tmux/src/driver.ts:mirrorSessionLog,"CPU, read/append bytes, lag, heap","Correctness only; I5,I6",,,"K4; driver-tmux/tail, parsers",Open; next experiment: Burst complete and oversized split lines and verify bounded exact projections
T04,P1,unmeasured this round,v2/driver-tmux/src/driver.ts:harvest,"capture subprocesses, hash CPU, bytes, loop delay","Known correctness discrepancy; I4,I6",,,K2; driver-tmux/driver; explicit-end fixtures,Open; next experiment: Measure capture cost only; isolate silence-derived turn handling for correctness review
T05,P1,unmeasured this round,"v2/driver-tmux/src/driver.ts:deliver, inject","delivery wall, synchronous blocked time, tmux calls","No valid perf baseline; I3,I4",,,"K3; driver-tmux/delivery, deliver-verify",Open; next experiment: Measure 10/1000/10000-character messages and concurrent unrelated RPC latency
T06,P1,unmeasured this round,"v2/driver-tmux/src/driver.ts:verifyEcho, countTailInPane","verification wall, polls, retry rate, captures","Prior fixture issue; I3,I4",,,K3; driver-tmux/deliver-verify no-blind-Enter,Open; next experiment: Stabilize existing echo fixture then compare fast/delayed/missing echo distributions
T07,P2,unmeasured this round,"v2/driver-tmux/src/driver.ts:adopt, stop, signal, onExit","wall, identity/tmux calls, leaked sessions/timers","Correctness only; I4,I5",,,"K5; driver-tmux/driver, delivery",Open; next experiment: Restart and stop 100 isolated stub seats; verify unrelated sessions survive
E01,P2,unmeasured this round,v2/daemon/src/daemon.ts:planCell; v2/driver-cell/src/provision.ts:reserveCell; v2/driver-cell/src/ledger.ts:writeLedger,"RPC latency, metadata writes, bytes","B2/B3 partial; I3,I6",,,"K1,K6; driver-cell/provision, daemon/cells",Open; next experiment: Separate reserve latency from worker provisioning and count writes per step
E02,P1,unmeasured this round,"v2/driver-cell/src/driver.ts:start, finishProvision","queue wait, worker CPU/RSS, RPC delay, concurrency","B2/B3 cohorts width 5; I3,I4,I5",,,"K2,K6; driver-cell/driver, provision-worker",Open; next experiment: Ramp width 1/5/20/100 with unrelated RPCs and worker-count timeline
E03,P1,unmeasured this round,"v2/driver-cell/src/gitImage.ts:tryMaterializeGitImage, configureFreshCellGit","wall, Git/copy process count, bytes",B3 landed; I6,,,K6; driver-cell/git-image config/refs/permissions,Open; next experiment: Keep six-process no-remote baseline; vary packs 1/32/64 and config fallback inputs
E04,P1,unmeasured this round,"v2/driver-cell/src/gitImage.ts:refreshGitImage, packRevision, validatePackedImage","wall, child CPU, bytes, lock wait, temporary storage","B2 exploratory; I4,I6",,,K6; driver-cell/git-image self-contained/lock/recovery,"Open; next experiment: Same graph at cold, hit, incremental and 65-pack rebuild boundaries"
E05,P1,unmeasured this round,"v2/driver-cell/src/provision.ts:materializeProvisionGitImage, runProvisionOperation; v2/driver-cell/src/cow.ts:probeCow, cowCopy","wall, processes, allocated/logical bytes",B2 exploratory; I6,,,"K6; driver-cell/provision, git-image",Open; next experiment: Force each path with identical SHA/tree and measure actual allocated blocks
E06,P1,unmeasured this round,v2/driver-cell/src/provision.ts:runProvisionOperation,"checkout wall/child CPU, file creates, bytes",B2 aggregate; I6,,,K6; driver-cell/provision exact tree/origin immutability,Open; next experiment: Hold .git constant while varying 200/100k files and total content bytes
E07,P2,unmeasured this round,v2/driver-cell/src/provision.ts:runProvisionOperation,"wall, metadata I/O, allocated bytes, later install cost",B2 confounded exploratory; I6,,,K6; driver-cell/provision warm/cold fallback,Open; next experiment: Compare total ready-plus-first-task cost with 0/1k/100k warm files on same graph
E08,P1,unmeasured this round,v2/driver-cell/src/provisionWorker.ts:waitForMaintenanceStart; v2/driver-cell/src/gitImage.ts:cleanupOldGenerations,"worker tail, CPU, RSS, cleanup bytes","B2 fresh-image landed; I4,I6",,,"K5,K6; driver-cell/provision-worker, git-image",Open; next experiment: Repeat worker-lifetime cohort matrix for all non-fresh-image paths
E09,P2,unmeasured this round,"v2/driver-cell/src/sandbox.ts:wrapWithSandbox, seatbeltProfile, bwrapArgs","profile CPU, process overhead, startup/FS throughput","Correctness only; I4,I6",,,"K5,K6; driver-cell/sandbox; harness/real",Open; next experiment: Paired sandboxed/unsandboxed stub file workload with identical allowed operations
